"Date","Price","Volume"
"2024-09-24 15:06:00 UTC+0","63123.85961697","12861569181.551044"
"2024-09-24 15:05:00 UTC+0","63101.32535263","12865856998.669495"
"2024-09-24 15:04:00 UTC+0","63124.80352131","12869609292.912304"
"2024-09-24 15:03:00 UTC+0","63137.00549438","12863224216.157318"
"2024-09-24 15:02:00 UTC+0","63166.56238824","12865625125.373793"
"2024-09-24 15:01:00 UTC+0","63155.44006939","12961751326.733652"
"2024-09-24 15:00:00 UTC+0","63152.38689718","12957910089.017870"
"2024-09-24 14:59:00 UTC+0","63158.23007560","12951992574.394451"
"2024-09-24 14:58:00 UTC+0","63140.17429677","12952155886.711103"
"2024-09-24 14:57:00 UTC+0","63129.28340583","12948199628.270706"
"2024-09-24 14:56:00 UTC+0","63142.55272132","12946302485.816284"
"2024-09-24 14:55:00 UTC+0","63116.09890305","12939929353.663008"
"2024-09-24 14:54:00 UTC+0","63116.59875860","12940592161.224218"
"2024-09-24 14:53:00 UTC+0","63087.64775548","12936196309.056139"
"2024-09-24 14:52:00 UTC+0","63096.38090428","12924239845.024483"
"2024-09-24 14:51:00 UTC+0","63073.20840089","12918012848.288930"
"2024-09-24 14:50:00 UTC+0","63015.65101717","12813641010.127714"
"2024-09-24 14:49:00 UTC+0","63021.19045672","12849024248.492070"
"2024-09-24 14:48:00 UTC+0","63066.00624432","12825232592.388262"
"2024-09-24 14:47:00 UTC+0","63009.61500492","12719690100.729946"
"2024-09-24 14:46:00 UTC+0","62938.05588979","12736296163.770110"
"2024-09-24 14:45:00 UTC+0","63030.92628956","12779751110.917557"
"2024-09-24 14:44:00 UTC+0","62995.63089125","12795470205.214722"
"2024-09-24 14:43:00 UTC+0","62966.70418030","12784445839.847376"
"2024-09-24 14:42:00 UTC+0","63002.28237150","12730990518.273110"
"2024-09-24 14:41:00 UTC+0","63029.97584093","12736707495.404123"
"2024-09-24 14:40:00 UTC+0","63023.40699617","12735973152.622046"
"2024-09-24 14:39:00 UTC+0","63012.86169017","12798977065.167746"
"2024-09-24 14:38:00 UTC+0","62985.43412152","12736513133.208750"
"2024-09-24 14:37:00 UTC+0","63018.25897898","12737496868.009090"
"2024-09-24 14:36:00 UTC+0","63033.43375641","12731149936.062330"
"2024-09-24 14:35:00 UTC+0","63062.45434816","12730562859.099285"
"2024-09-24 14:34:00 UTC+0","63057.08835801","12772869761.703848"
"2024-09-24 14:33:00 UTC+0","63063.44890206","12713423710.803015"
"2024-09-24 14:32:00 UTC+0","63050.98994188","12708185447.565945"
"2024-09-24 14:31:00 UTC+0","63032.56590947","12712389582.985846"
"2024-09-24 14:30:00 UTC+0","63050.45215152","12702780720.539316"
"2024-09-24 14:29:00 UTC+0","63078.80921251","12710523365.871908"
"2024-09-24 14:28:00 UTC+0","63110.39111318","12702427532.930641"
"2024-09-24 14:27:00 UTC+0","63148.23162429","12706679383.138325"
"2024-09-24 14:26:00 UTC+0","63177.44667125","12707323293.838614"
"2024-09-24 14:25:00 UTC+0","63155.10881186","12634187682.761757"
"2024-09-24 14:24:00 UTC+0","63196.78274343","12634385560.440046"
"2024-09-24 14:23:00 UTC+0","63237.71505880","12634385560.440046"
"2024-09-24 14:22:00 UTC+0","63226.88208437","12630008300.514400"
"2024-09-24 14:21:00 UTC+0","63223.12842552","12536194311.676338"
"2024-09-24 14:20:00 UTC+0","63232.42451501","12542123715.492540"
"2024-09-24 14:19:00 UTC+0","63207.21779759","12672477666.991297"
"2024-09-24 14:18:00 UTC+0","63250.45088867","12724828650.471666"
"2024-09-24 14:17:00 UTC+0","63282.94178788","12663615273.578217"
"2024-09-24 14:16:00 UTC+0","63248.02264162","12682781826.643642"
"2024-09-24 14:15:00 UTC+0","63252.22943421","12710659157.976995"
"2024-09-24 14:14:00 UTC+0","63290.69735860","12733398543.736270"
"2024-09-24 14:13:00 UTC+0","63474.36584473","12711638944.913233"
"2024-09-24 14:12:00 UTC+0","63570.14178682","12723546742.614430"
"2024-09-24 14:11:00 UTC+0","63534.92755699","12712921539.174044"
"2024-09-24 14:10:00 UTC+0","63542.64588209","12693560705.956272"
"2024-09-24 14:09:00 UTC+0","63501.05745672","12675671019.942163"
"2024-09-24 14:08:00 UTC+0","63417.99127332","12678346562.157942"
"2024-09-24 14:07:00 UTC+0","63404.72120148","12669623099.705120"
"2024-09-24 14:06:00 UTC+0","63433.78231239","12670946295.912460"
"2024-09-24 14:05:00 UTC+0","63428.92639510","12664011167.047232"
"2024-09-24 14:04:00 UTC+0","63459.51684943","12662522655.517242"
"2024-09-24 14:03:00 UTC+0","63491.58586894","12659931491.302788"
"2024-09-24 14:02:00 UTC+0","63529.44283585","12660675371.937218"
"2024-09-24 14:01:00 UTC+0","63591.09771366","12664439806.368359"
